City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
296,Neftegorsk,RU,52.8,51.17,68.79,91,0,10.07,clear sky,0.0,0
297,Rawa Mazowiecka,PL,51.76,20.25,57.0,10,100,7.27,light rain,0.13,0
298,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,57,0,16.11,clear sky,0.0,0
299,Fort Nelson,CA,58.81,-122.7,66.2,55,75,4.7,broken clouds,0.0,0
300,Te Anau,NZ,-45.42,167.72,45.37,90,100,1.23,light rain,0.56,0
301,Moron,AR,-34.65,-58.62,60.01,22,9,3.0,clear sky,0.0,0
302,Bjornevatn,NO,69.67,29.98,48.2,87,75,10.29,broken clouds,0.0,0
303,Beisfjord,NO,68.38,17.6,57.2,62,100,17.22,overcast clouds,0.0,0
304,Onega,RU,63.91,38.14,58.24,96,100,12.39,moderate rain,1.33,0
305,Buraydah,SA,26.33,43.98,96.8,23,20,3.36,few clouds,0.0,0
306,Katherine,AU,-14.47,132.27,69.8,56,0,4.7,clear sky,0.0,0
307,Namatanai,PG,-3.67,152.43,78.78,84,64,6.89,broken clouds,0.0,0
308,Lucapa,AO,-8.42,20.74,76.57,25,0,3.87,clear sky,0.0,0
